"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.995449805E1,6.250124799E1,2.543480925E1,1.795879469E2,1.992375128E2,1.464358965E0,1.344058533E2,1.254571639E-1,4.748651487E0,5.604492560E0,-1.000000000E0
8.095450234E1,6.250123814E1,2.543483097E1,1.796825316E2,1.993321040E2,1.451304586E0,1.344842834E2,1.269838930E-1,4.748651491E0,5.629354160E0,-1.000000000E0
8.195450580E1,6.250122851E1,2.543485217E1,1.796091570E2,1.992587355E2,1.512256607E0,1.344842834E2,1.283543991E-1,4.748651501E0,5.344809506E0,-1.000000000E0
8.295450997E1,6.250121987E1,2.543487121E1,1.795819625E2,1.992315465E2,1.454925211E0,1.344842834E2,1.296476768E-1,4.748651504E0,5.560897614E0,-1.000000000E0
8.395451438E1,6.250121172E1,2.543488917E1,1.794467945E2,1.990963838E2,1.232572447E0,1.344842834E2,1.313488918E-1,4.748651489E0,5.615693404E0,-1.000000000E0
8.495451832E1,6.250120099E1,2.543491279E1,1.793417043E2,1.989913005E2,1.525427657E0,1.344842834E2,1.326208256E-1,4.748651508E0,5.049516743E0,-1.000000000E0
8.595452225E1,6.250119297E1,2.543493045E1,1.793025615E2,1.989521629E2,1.246830860E0,1.344842834E2,1.344608891E-1,4.748651492E0,5.699445967E0,-1.000000000E0
8.695452607E1,6.250118136E1,2.543495600E1,1.792603828E2,1.989099916E2,1.673882768E0,1.344842834E2,1.354890643E-1,4.748651490E0,5.040502890E0,-1.000000000E0
8.795452988E1,6.250117488E1,2.543497028E1,1.789921811E2,1.986417941E2,1.243486986E0,1.344842834E2,1.374525146E-1,4.748651489E0,5.762848595E0,-1.000000000E0
8.895453405E1,6.250116250E1,2.543499755E1,1.790115054E2,1.986611264E2,1.750663996E0,1.344842834E2,1.384231121E-1,4.748651489E0,5.410944442E0,-1.000000000E0
8.995453775E1,6.250115638E1,2.543501102E1,1.788846488E2,1.985342737E2,1.260270097E0,1.344842834E2,1.401653270E-1,4.748651488E0,5.874224741E0,-1.000000000E0
9.095454144E1,6.250114927E1,2.543504127E1,1.784748799E2,1.981245079E2,1.739365384E0,1.005323456E2,1.410404035E-1,4.748651474E0,5.145185482E0,-1.000000000E0
9.195454538E1,6.250115094E1,2.543505793E1,1.784712847E2,1.981209096E2,1.242758870E0,8.616535076E1,1.422839225E-1,4.748651471E0,6.135478680E0,-1.000000000E0
9.295454919E1,6.250115247E1,2.543508192E1,1.780785758E2,1.977281969E2,1.298655355E0,8.018285791E1,1.443538372E-1,4.748651490E0,5.299770725E0,-1.000000000E0
9.395455325E1,6.250115528E1,2.543512178E1,1.778790620E2,1.975286765E2,1.871751993E0,7.485864722E1,1.458791542E-1,4.748651497E0,5.426914628E0,-1.000000000E0
9.495455682E1,6.250116439E1,2.543514398E1,1.780920985E2,1.977417029E2,1.264581680E0,6.366317374E1,1.484239908E-1,4.748651484E0,6.032294532E0,-1.000000000E0
9.595456052E1,6.250117809E1,2.543518368E1,1.780848628E2,1.977344512E2,1.856285817E0,5.675630139E1,1.548261024E-1,4.748651490E0,5.271492278E0,-1.000000000E0
9.695456409E1,6.250121965E1,2.543526998E1,1.779631440E2,1.976126875E2,1.325198957E0,4.476923370E1,1.566580433E-1,4.748651483E0,6.001905275E0,-1.000000000E0
9.795456719E1,6.250123318E1,2.543529035E1,1.777280991E2,1.973776288E2,1.351798333E0,4.476923370E1,1.582233471E-1,4.748651480E0,5.668099686E0,-1.000000000E0
9.895457184E1,6.250124291E1,2.543531237E1,1.776268616E2,1.972763806E2,1.338550198E0,4.476923370E1,1.604535355E-1,4.748651464E0,5.775432264E0,-1.000000000E0
9.995457542E1,6.250125490E1,2.543534720E1,1.775584221E2,1.972079272E2,1.867043398E0,4.476923370E1,1.612103398E-1,4.748651475E0,5.193650154E0,-1.000000000E0
1.009545783E2,6.250125990E1,2.543535721E1,1.773326724E2,1.969821721E2,1.253447611E0,4.476923370E1,1.625662885E-1,4.748651475E0,5.548613546E0,-1.000000000E0
1.019545820E2,6.250127038E1,2.543537070E1,1.770066745E2,1.966561637E2,1.230811193E0,4.476923370E1,1.644575862E-1,4.748651469E0,4.903522650E0,-1.000000000E0
1.029545857E2,6.250128268E1,2.543539615E1,1.772998666E2,1.969493425E2,1.492255444E0,4.328310394E1,1.658518488E-1,4.748651488E0,4.973933593E0,-1.000000000E0
1.039545892E2,6.250129181E1,2.543541476E1,1.771967733E2,1.968462393E2,1.256108054E0,4.328310394E1,1.675165866E-1,4.748651490E0,5.574900863E0,-1.000000000E0
1.049545938E2,6.250130306E1,2.543543615E1,1.774620795E2,1.971115337E2,1.422552746E0,4.022218704E1,1.690444260E-1,4.748651484E0,5.010810705E0,-1.000000000E0
1.059545968E2,6.250131356E1,2.543545535E1,1.772802615E2,1.969297046E2,1.440259785E0,4.022218704E1,1.708436198E-1,4.748651477E0,4.819140089E0,-1.000000000E0
1.069546006E2,6.250132592E1,2.543547796E1,1.776981057E2,1.973475357E2,1.443761525E0,4.022218704E1,1.724390867E-1,4.748651469E0,5.165509329E0,-1.000000000E0
1.079546037E2,6.250133688E1,2.543549801E1,1.779108533E2,1.975602717E2,1.261616941E0,4.022218704E1,1.738907498E-1,4.748651493E0,5.471933513E0,-1.000000000E0
1.089546082E2,6.250134673E1,2.543551657E1,1.776185508E2,1.972679588E2,1.342171326E0,4.130646515E1,1.763827345E-1,4.748651484E0,5.291555257E0,-1.000000000E0
