"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.762824667E0,1.225077012E-1,-5.514099777E-2,-1.352952055E-1,1.906658310E-1
2.772782667E0,1.050440049E-1,-1.773928285E-2,-7.654122233E-2,1.311772993E-1
2.782741667E0,8.381022502E-2,-5.416041970E-2,-1.141388007E-1,1.516086103E-1
2.792700667E0,6.672451470E-2,-1.328621882E-1,-1.857894119E-1,2.379542550E-1
2.802658667E0,3.535621271E-2,-1.182564282E-1,-1.944081895E-1,2.302806738E-1
2.812617667E0,-1.975335628E-3,-3.971838176E-2,-1.706205833E-1,1.751937078E-1
2.822575667E0,-1.594016768E-2,-9.087157845E-3,-8.534007590E-2,8.729028548E-2
2.832534667E0,1.702800561E-2,-5.198817909E-2,-3.265786886E-2,6.371232329E-2
2.842492667E0,5.161121640E-2,-9.373612940E-2,-2.983015537E-2,1.110856327E-1
2.852451667E0,-1.395533033E-2,-8.372335732E-2,-6.263186574E-2,1.054850815E-1
2.862409667E0,-7.603288002E-2,-1.857192636E-2,-5.389736809E-2,9.503074018E-2
2.872368667E0,-4.814765476E-2,6.445970535E-3,-1.025414515E-1,1.134658383E-1
2.882327667E0,-2.708145238E-2,-2.066230595E-2,-1.182716310E-1,1.230793023E-1
2.892285667E0,4.887139387E-3,-5.920422792E-2,-1.624520961E-1,1.729731432E-1
2.902244667E0,1.847453367E-2,-9.256025434E-2,-2.269946858E-1,2.458359136E-1
2.912202667E0,-2.867872898E-2,-9.829344928E-2,-1.533992176E-1,1.844326208E-1
2.922161667E0,-4.642162979E-2,-6.557418466E-2,-5.929076672E-2,9.985157196E-2
2.932119667E0,-1.241338301E-2,-6.582795382E-2,-5.004514933E-2,8.361775262E-2
2.942078667E0,2.774174921E-3,-5.376456320E-2,-7.441751361E-2,9.184928217E-2
2.952036667E0,-2.335896872E-2,9.529207349E-3,-5.099583350E-2,5.689483498E-2
2.961995667E0,-6.558390565E-2,2.996230245E-2,-3.344965495E-2,7.948501535E-2
